ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Restaurant_address,Delivery_address
2DE3,INDORES19DEL02,37,4.7,22.745536,75.893106,22.765536,75.913106,01-03-2022,09:45:00,09:55:00,conditions Sunny,Low ,1,Snack ,scooter ,0,No ,Metropolitian ,(min) 10,"Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India","Balaji Heights, Piplya Kumar, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India"
880D,VADRES20DEL02,20,4.5,22.311358,73.164798,22.441358,73.294798,12-03-2022,00:00:00,00:15:00,conditions Stormy,Low ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,(min) 17,"Vadodara Rural Taluka, Vadodara, Gujarat, 390007, India","Vagodhia Taluka, Vadodara, Gujarat, India"
349D,INDORES05DEL02,23,4.9,22.727021,75.884167,22.857021,76.014167,14-03-2022,17:40:00,17:50:00,conditions Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 24,"Marathe Urban solutions, 302 B, Lala Banarsilal Dawar Marg, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452007, India","Mandlawda, Sanwer Tahsil, Indore, Madhya Pradesh, India"
8A76,SURRES20DEL03,37,4.9,21.15276,72.778059,21.24276,72.868059,04-04-2022,20:15:00,20:25:00,conditions Sandstorms,Jam ,2,Snack ,electric_scooter ,1,No ,Metropolitian ,(min) 27,"Majura Taluka, Surat, Gujarat, 394518, India","Amroli, Adajan Taluka, Surat, Gujarat, 394105, India"
BCE6,CHENRES03DEL02,29,4,13.091809,80.219104,13.171809,80.299104,31-03-2022,20:35:00,20:50:00,conditions Cloudy,Jam ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 32,"7th Street, T Block, CMWSSB Division 101, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India","CMWSSB Division 6, Zone 1 Tiruvottiyur, Mathavaram, Thiruvallur, Tamil Nadu, 600019, India"
BC9E,MYSRES08DEL01,24,4.9,12.297954,76.665169,12.407954,76.775169,25-03-2022,17:35:00,17:50:00,conditions Sunny,Medium ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 15,"Nike, Unit No 17, Gr Flr, Mall of Mysore, Kozhikode - Kollegal Highway, Race Course, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570022, India","Hangarahalli, Srirangapattana taluk, Mandya, Karnataka, 570014, India"
AEF0,INDORES19DEL01,22,4.6,22.745536,75.893106,22.785536,75.933106,11-03-2022,16:20:00,16:30:00,conditions Stormy,Medium ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 25,"Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India","Arandiya, Kanadiya Tahsil, Indore, Madhya Pradesh, 453771, India"
5BB7,MYSRES07DEL01,34,4.4,12.325461,76.632278,12.395461,76.702278,14-03-2022,19:50:00,19:55:00,conditions Stormy,Jam ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 38,"2nd Main Road, Gokulam, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Chandagalu, Srirangapattana taluk, Mandya, Karnataka, 570020, India"
C438,GOARES06DEL02,34,4.7,15.56155,73.749092,15.58155,73.769092,17-02-2022,08:20:00,08:30:00,conditions Windy,Low ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 26,"Baga Beach, Tito's Lane, Baga, Calangute, Bardez, North Goa, Goa, 403516, India","Chima Vaddo, Arpora, Bardez, North Goa, Goa, 403518, India"
D1AE,ALHRES09DEL02,21,4.4,0.0,0.0,0.13,0.13,14-02-2022,17:25:00,17:30:00,conditions Fog,Medium ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 34,,
3682,JAPRES08DEL03,22,4.9,26.910262,75.783013,27.050262,75.923013,29-03-2022,18:50:00,19:00:00,conditions Windy,Medium ,2,Buffet ,motorcycle ,NaN ,No ,Urban ,(min) 24,"Ajmer Road, Gayatri Nagar, Sodala, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","Khoramina, Amber Tehsil, Jaipur(Rural), Rajasthan, 302028, India"
E211,KOLRES16DEL03,24,4.8,22.539129,88.365507,22.599129,88.425507,11-02-2022,20:20:00,20:30:00,conditions Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,(min) 15,"Quest Mall, Jhowtala Road, Park Circus, Kolkata, West Bengal, 700017, India","Canal Side Road, AL Block, Sector II, Bidhannagar, North 24 Parganas, West Bengal, 700101, India"
8D0C,CHENRES16DEL01,33,4.8,13.049645,80.242268,13.059645,80.252268,26-03-2022,09:35:00,09:45:00,conditions Windy,Low ,2,Meal ,scooter ,NaN ,No ,Metropolitian ,(min) 20,"Basil with a twist, Habibullah Road, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India","Rutland Gate 4th Street, CMWSSB Division 111, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
53A4,JAPRES08DEL03,31,4.7,26.910262,75.783013,26.940262,75.813013,19-03-2022,18:45:00,18:55:00,conditions Cloudy,Medium ,2,Drinks ,scooter ,NaN ,No ,Metropolitian ,(min) 16,"Ajmer Road, Gayatri Nagar, Sodala, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","dune, New Rambah Road, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India"
742D,VADRES02DEL01,39,4.9,0.0,0.0,0.11,0.11,02-04-2022,21:00:00,21:05:00,conditions Fog,Jam ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 42,,
3043,CHENRES06DEL03,26,4.6,13.054347,80.257221,13.084347,80.287221,13-03-2022,17:10:00,17:25:00,conditions Sandstorms,Medium ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 19,"Ward 111, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India","Fort St. George, Rajaji Salai, Ward 60, Zone 5 Royapuram, Chennai, Tamil Nadu, 600009, India"
AB6B,SURRES12DEL02,20,4.3,21.183434,72.814492,21.313434,72.944492,27-03-2022,20:35:00,20:45:00,conditions Cloudy,Jam ,2,Buffet ,scooter ,0,No ,Metropolitian ,(min) 41,"Surat, Chorasi Taluka, Surat, Gujarat, 395001, India","Kamrej Taluka, Surat, Gujarat, 394150, India"
2CFF,SURRES03DEL01,35,3.5,21.186884,72.793616,21.256884,72.863616,02-04-2022,18:35:00,18:40:00,conditions Stormy,Medium ,2,Buffet ,motorcycle ,2,No ,Metropolitian ,(min) 39,"Surat, Gujarat, 359009, India","Amroli, Adajan Taluka, Surat, Gujarat, 394105, India"
E123,AURGRES04DEL01,35,4.2,19.876106,75.340775,19.916106,75.380775,13-02-2022,12:25:00,12:35:00,conditions Stormy,High ,0,Meal ,motorcycle ,0,No ,Metropolitian ,(min) 39,"Jalna Road, rokdiya hanuman colony, Osmanpura, Chhatrapati Sambhaji Nagar, Chhatrapati Sambhajinagar, Maharashtra, 431002, India","PISADEVI, Chhatrapati Sambhajinagar, Maharashtra, 431003, India"
23E2,VADRES13DEL01,38,4.7,22.310237,73.158921,22.380237,73.228921,27-03-2022,22:10:00,22:15:00,conditions Sandstorms,Low ,1,Meal ,scooter ,1,No ,Urban ,(min) 20,"Race Course area, Saiyed Vasna, Vadodara Rural Taluka, Vadodara, Gujarat, 390007, India","Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
A18F,HYDRES16DEL02,36,4.2,17.440827,78.393391,17.520827,78.473391,10-03-2022,21:00:00,21:05:00,conditions Sunny,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 34,"Cyber Towers - Madhapur Main Road, HITEC City, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500081, India","Praga Tools Colony, Ward 132 Jeedimetla, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, 500100, India"
9491,MUMRES08DEL02,26,4.9,19.065838,72.832658,19.195838,72.962658,23-03-2022,19:45:00,20:00:00,conditions Cloudy,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 36,"Surya Kiran, 462, 14th Road, Linking Road Shopping area, Bandra West, Zone 3, Mumbai Suburban, Maharashtra, 400050, India","Louis Wadi, Eastern Express Highway, Panch Pakadi, Thane, Thane Taluka, Thane, Maharashtra, 400602, India"
DCBD,KNPRES12DEL02,21,4.7,26.492106,80.327797,26.572106,80.407797,14-02-2022,20:55:00,21:00:00,conditions Sunny,Jam ,1,Drinks ,motorcycle ,0,No ,Urban ,(min) 15,"Rave 3, PB Road, Kanpur, Kanpur Nagar, Uttar Pradesh, 208001, India","Unnao, Uttar Pradesh, 209800, India"
9DFF,MYSRES04DEL03,22,4.3,12.3085,76.665808,12.3385,76.695808,09-03-2022,23:25:00,23:40:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 22,"Century Layout, Nazarbad, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Satagalli, Mysuru taluk, Mysuru, Karnataka, 570019, India"
335A,SURRES12DEL01,27,4.4,21.183434,72.814492,21.253434,72.884492,31-03-2022,20:30:00,20:40:00,conditions Cloudy,Jam ,1,Drinks ,motorcycle ,2,No ,Metropolitian ,(min) 42,"Surat, Chorasi Taluka, Surat, Gujarat, 395001, India","Adajan Taluka, Surat, Gujarat, 394105, India"
B403,MUMRES07DEL02,24,5,19.091458,72.827808,19.221458,72.957808,20-03-2022,20:15:00,20:30:00,conditions Sunny,Jam ,2,Drinks ,electric_scooter ,1,No ,Metropolitian ,(min) 19,"Sesame, 1005, Juhu Tara Road, Chandrabai Nagar, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra, 400049, India","Pokhran Road 2, Pawar Nagar, Thane, Thane Taluka, Thane, Maharashtra, 200014, India"
AD91,RANCHIRES18DEL01,21,4.7,23.351489,85.324253,23.391489,85.364253,01-04-2022,16:55:00,17:00:00,conditions Windy,Medium ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 23,"Radisson Blu, Kadru Road way to Argora Chowk, Ranchi, Kanke, Ranchi, Jharkhand, 834002, India","Pokhartoli, Ranchi, Kanke, Ranchi, Jharkhand, 834009, India"
E047,BHPRES07DEL01,39,4.9,0.0,0.0,0.07,0.07,12-02-2022,19:20:00,19:35:00,conditions Windy,Jam ,0,Snack ,motorcycle ,0,Yes ,Semi-Urban ,(min) 50,,
3DD2,MUMRES14DEL02,30,4.7,19.1813,72.836191,19.2013,72.856191,26-03-2022,10:25:00,10:35:00,conditions Cloudy,Low ,2,Meal ,scooter ,1,No ,Urban ,(min) 16,"Tango Fast Food and Juice Center, 5RHR+JHM kailash house, Link Road, Malad West, P/N Ward, Zone 4, Mumbai Suburban, Maharashtra, 400064, India","Chakravarty Ashok Road, Kandivali East, R/S Ward, Zone 4, Mumbai Suburban, Maharashtra, 400101, India"
CBEA,KNPRES06DEL03,38,4.8,0.0,0.0,0.06,0.06,11-02-2022,21:10:00,21:20:00,conditions Sunny,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 20,,
69DF,CHENRES20DEL01,28,4.9,12.975996,80.221898,12.985996,80.231898,05-04-2022,08:25:00,08:30:00,conditions Sandstorms,Low ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 15,"Pind Restaurent, 2, Sarathy Nagar 1st Main Road, Tansi Nagar, Ward 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India","Natarajan Street, Seva Nagar Velachery, CMWSSB Division 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India"
7F1E,MYSRES04DEL01,30,4.9,12.3085,76.665808,12.3185,76.675808,21-03-2022,09:50:00,10:00:00,conditions Fog,Low ,0,Meal ,motorcycle ,0,No ,Metropolitian ,(min) 26,"Century Layout, Nazarbad, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Kyathamaranahalli Road, Gayathripuram, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India"
50DC,RANCHIRES18DEL02,36,4.5,23.351489,85.324253,23.401489,85.374253,05-04-2022,19:55:00,20:00:00,conditions Sunny,Jam ,2,Snack ,motorcycle ,NaN ,No ,Metropolitian ,(min) 21,"Radisson Blu, Kadru Road way to Argora Chowk, Ranchi, Kanke, Ranchi, Jharkhand, 834002, India","Garhi, Ranchi, Kanke, Ranchi, Jharkhand, 834009, India"
7F19,SURRES09DEL03,37,4.9,21.175975,72.795503,21.265975,72.885503,06-04-2022,23:30:00,23:35:00,conditions Cloudy,Low ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,(min) 26,"Majura Taluka, Surat, Gujarat, 395007, India","Adajan Taluka, Surat, Gujarat, 394105, India"
4F89,JAPRES03DEL03,20,4.9,26.913483,75.803139,26.943483,75.833139,01-03-2022,17:15:00,17:20:00,conditions Stormy,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 14,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","Choudary Colony, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India"
92CE,INDORES02DEL03,27,4.8,22.651847,75.881991,22.681847,75.911991,03-04-2022,20:25:00,20:30:00,conditions Sandstorms,Jam ,1,Meal ,motorcycle ,0,No ,Urban ,(min) 18,"Phatankheri, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India","Palda, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India"
10C9,BANGRES16DEL01,39,5,13.029198,77.570997,13.139198,77.680997,08-03-2022,18:35:00,18:40:00,conditions Windy,Medium ,0,Buffet ,motorcycle ,2,No ,Metropolitian ,(min) 47,"New BEL Road, Jaladarshini Layout, RMV 2nd Stage, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560094, India","Bagaluru, Gopalapura, Yelahanka taluku, Bengaluru Urban, Karnataka, 562149, India"
9435,PUNERES05DEL01,24,4.5,18.543626,73.905101,18.613626,73.975101,29-03-2022,22:50:00,23:05:00,conditions Cloudy,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 23,"Farzi Café, East Avenue, Kalyani Nagar, Pune City, Pune, Maharashtra, 411011, India","Haveli, Pune, Maharashtra, 412207, India"
27A8,BANGRES19DEL02,39,4.6,12.914264,77.6784,13.044264,77.8084,23-03-2022,23:15:00,23:20:00,conditions Sandstorms,Low ,1,Buffet ,scooter ,1,No ,Metropolitian ,(min) 20,"The Hoot Cafe & Brewery, BBMP 2034/69,Sarjapur Main Road, Block 2 Village, Varthur Hobli, Kaikondrahalli, Sarjapur Road, Iblur, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India","Ganagaluru, Hosakote taluk, Bengaluru Rural, Karnataka, 562114, India"
A5D6,MUMRES05DEL02,24,4.9,18.927584,72.832585,19.057584,72.962585,16-03-2022,21:10:00,21:25:00,conditions Windy,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 31,"Copper Chimney, Kaikhushru Dubash Marg, Kala Ghoda, A Ward, Zone 1, Mumbai City, Maharashtra, 400001, India","M/E Ward, Zone 5, Mumbai Suburban, Thane Taluka, Thane, Maharashtra, 400034, India"
1B9F,PUNERES08DEL03,21,5,18.53408,73.89852,18.59408,73.95852,30-03-2022,17:55:00,18:00:00,conditions Cloudy,Medium ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 22,"Koregaon Park, Ghorpuri, Pune City, Pune, Maharashtra, 411037, India","Pune City, Haveli, Pune, Maharashtra, 411023, India"
A66A,MYSRES06DEL02,26,4.7,12.323994,76.626167,12.343994,76.646167,19-03-2022,08:50:00,08:55:00,conditions Cloudy,Low ,1,Snack ,scooter ,1,No ,Urban ,(min) 12,"Kalidasa Road, Gokulam, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India"
30AE,COIMBRES06DEL01,30,4.5,11.021278,76.995017,11.091278,77.065017,12-03-2022,20:30:00,20:35:00,conditions Windy,Jam ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 34,"The Cascade, Avanishi Road, Peelamedu, Ward 56, East Zone, Coimbatore South, Coimbatore, Tamil Nadu, 641028, India","Saravanampatty - Thennampalayam Road, Ward 34, East Zone, Vellanaipatti, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India"
DFC4,LUDHRES20DEL03,38,4.8,30.885915,75.788259,31.025915,75.928259,14-02-2022,22:50:00,22:55:00,conditions Windy,Low ,2,Buffet ,scooter ,1,No ,Urban ,(min) 24,"Rajguru Nagar, Sunet, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141012, India","Phillaur Tahsil, Jalandhar, Punjab, 144422, India"
41CA,INDORES09DEL03,21,4.7,22.725835,75.887648,22.785835,75.947648,15-03-2022,17:25:00,17:40:00,conditions Stormy,Medium ,0,Meal ,motorcycle ,0,No ,Urban ,(min) 13,"Old A. B. Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India","Balyakhera, Kanadiya Tahsil, Indore, Madhya Pradesh, India"
BD24,CHENRES07DEL02,25,4.6,13.081878,80.248519,13.211878,80.378519,06-04-2022,17:10:00,17:20:00,conditions Sandstorms,Medium ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 22,"Dr. Vasudevan Street, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India",India
3626,COIMBRES16DEL03,39,4.8,11.010375,76.95295,11.100375,77.04295,27-03-2022,19:50:00,20:00:00,conditions Sunny,Jam ,2,Buffet ,scooter ,1,No ,Metropolitian ,(min) 25,"Thiruvenkatasamy (TV Samy) Road, Ward 23, West Zone, Coimbatore South, Coimbatore, Tamil Nadu, 641002, India","Ward 33, East Zone, Kurumbapalayam, Coimbatore North, Coimbatore, Tamil Nadu, 641048, India"
D2FB,BHPRES08DEL02,26,4.8,23.232537,77.429845,23.312537,77.509845,16-02-2022,21:50:00,22:00:00,conditions Cloudy,Jam ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 42,"DB Mall Square, Maharana Pratap Nagar, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India","Kalyanpur, Huzur Tahsil, Bhopal, Madhya Pradesh, India"
B19D,BANGRES07DEL02,28,5,12.978453,77.643685,13.028453,77.693685,05-04-2022,18:50:00,19:00:00,conditions Windy,Medium ,0,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 27,"510, Chinmaya Mission Hospital Road, Old Binnamangala, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560038, India","Maragondanahalli, Bangalore East, Bengaluru Urban, Karnataka, 560049, India"
7736,CHENRES010DEL02,26,4.8,13.066762,80.251865,13.146762,80.331865,10-03-2022,20:00:00,20:05:00,conditions Cloudy,Jam ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 37,"College Lane, CMWSSB Division 111, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India","Chennai, Tamil Nadu, 600001, India"
BD9E,HYDRES15DEL02,38,4.7,17.45971,78.368855,17.47971,78.388855,01-04-2022,09:55:00,10:05:00,conditions Windy,Low ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 26,"Heart Cup Coffee, B 7 & 8, Hitec City - Kondapur Main Road, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500084, India","Phase 5, Ward 114 KPHB Colony, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 500072, India"
89B9,HYDRES12DEL02,23,4.6,17.429585,78.392621,17.559585,78.522621,04-03-2022,22:45:00,23:00:00,conditions Sandstorms,Low ,1,Buffet ,scooter ,1,No ,Urban ,(min) 15,"Hoppery, Rd Number 46, CBI Colony, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500033, India","Shamirpet mandal, Medchal–Malkajgiri, Telangana, 500100, India"
9C95,RANCHIRES09DEL02,38,4.7,23.351058,85.325731,23.481058,85.455731,25-03-2022,18:15:00,18:30:00,conditions Fog,Medium ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 30,"Jungli Moondance, Mahatma Gandhi Road, Chutia, Ranchi, Kanke, Ranchi, Jharkhand, 834002, India","Ormanjhi, Ranchi, Jharkhand, India"
2858,JAPRES19DEL03,36,4.8,26.913726,75.75282,27.053726,75.89282,27-03-2022,21:25:00,21:35:00,conditions Sandstorms,Jam ,0,Drinks ,motorcycle ,1,No ,Semi-Urban ,(min) 53,"Decked Up By Garden Café, shekhawat mansingh marg, Nemi Colony, Vaishali Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","Seengwana, Kukas, Amber Tehsil, Jaipur(Rural), Rajasthan, India"
248B,JAPRES13DEL02,28,4.7,26.846156,75.8023,26.866156,75.8223,28-03-2022,11:15:00,11:30:00,conditions Windy,High ,2,Drinks ,scooter ,1,No ,NaN ,(min) 18,"Jaipur Municipal Corporation, Sanganer Tehsil, Jaipur, Rajasthan, 302018, India","Jaipur Municipal Corporation, Sanganer Tehsil, Jaipur, Rajasthan, 302014, India"
9B7B,BANGRES14DEL01,38,4.3,12.949934,77.699386,12.989934,77.739386,28-03-2022,12:35:00,12:45:00,conditions Windy,High ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 31,"Radisson Blu Bengaluru Outer Ring Road, Sy. #90/4, Outer Ring Road, MSR Layout, Marathahalli, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India","Whitefield Road, EPIP Zone, Sadaramangala, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
6ED9,MYSRES04DEL02,39,4.9,12.3085,76.665808,12.4385,76.795808,12-03-2022,17:20:00,17:30:00,conditions Sunny,Medium ,1,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 26,"Century Layout, Nazarbad, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Hunjanakere, Srirangapattana taluk, Mandya, Karnataka, 571415, India"
5501,RANCHIRES14DEL03,25,4.9,0.0,0.0,0.06,0.06,21-03-2022,22:00:00,22:15:00,conditions Sandstorms,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,(min) 25,,
9843,COIMBRES07DEL03,39,4.9,10.96185,76.971082,11.05185,77.061082,12-03-2022,18:55:00,19:00:00,conditions Sunny,Medium ,1,Snack ,scooter ,0,No ,Metropolitian ,(min) 19,"Ward 94, South Zone, Podanur, Coimbatore South, Coimbatore, Tamil Nadu, 641024, India","Avinashi Road, Goldwins, Ward 35, East Zone, Coimbatore, Sulur, Coimbatore, Tamil Nadu, 641001, India"
81F9,COIMBRES17DEL02,30,4.8,11.026117,76.944652,11.046117,76.964652,30-03-2022,10:20:00,10:25:00,conditions Cloudy,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 16,"Saibaba Colony, Ward 22, West Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India","Ward 41, North Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India"
5649,SURRES15DEL01,24,4.8,21.160522,72.771477,21.200522,72.811477,17-03-2022,14:55:00,15:10:00,conditions Windy,High ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 25,"Majura Taluka, Surat, Gujarat, 395007, India","Surat, Gujarat, 392009, India"
D34B,KOLRES12DEL03,27,4.5,22.551084,88.354127,22.581084,88.384127,15-02-2022,20:40:00,20:55:00,conditions Cloudy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 23,"71, Park Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal, 700016, India","Satin Sen Sarani, Circular Canal, Kolkata, West Bengal, 700011, India"
1CAF,HYDRES18DEL01,23,4.8,17.450851,78.379347,17.520851,78.449347,20-03-2022,18:25:00,18:30:00,conditions Sandstorms,Medium ,1,Meal ,motorcycle ,0,No ,Metropolitian ,(min) 22,"KFC, Hitec City Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500081, India","IDA Jeedimetla, Ward 130 Subash Nagar, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, 500055, India"
54E8,CHENRES16DEL03,26,4.5,13.049645,80.242268,13.139645,80.332268,06-04-2022,21:10:00,21:15:00,conditions Sandstorms,Jam ,1,Meal ,motorcycle ,0,No ,Metropolitian ,(min) 21,"Basil with a twist, Habibullah Road, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India","Chennai, Tamil Nadu, 600001, India"
A32,PUNERES03DEL03,NaN ,NaN ,18.554382,73.798206,18.614382,73.858206,26-03-2022,NaN ,19:05:00,conditions Sandstorms,Medium ,2,Buffet ,scooter ,1,No ,Metropolitian ,(min) 20,"Elaichi Pure Veg, Dr. Bhabha Marg, Aundh, Pune City, Pune, Maharashtra, 411027, India","CME Dapodi-Old Nashik Highway, Bhosari, Pimpri-Chinchwad, Haveli, Pune, Maharashtra, 411031, India"
723D,RANCHIRES12DEL01,34,5,0.0,0.0,0.01,0.01,11-03-2022,08:45:00,08:55:00,conditions Fog,Low ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,(min) 15,,
73E1,COIMBRES03DEL02,20,4.7,11.025083,77.015393,11.075083,77.065393,05-04-2022,23:20:00,23:35:00,conditions Stormy,Low ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 19,"Ward 37, East Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India","Mylampatti, Sulur, Coimbatore, Tamil Nadu, 641062, India"
8581,CHENRES18DEL01,30,4.3,12.981615,80.231598,12.991615,80.241598,15-03-2022,09:40:00,09:45:00,conditions Sandstorms,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 27,"Baby Nagar, CMWSSB Division 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India","Indian Institute of Technology Madras, MurphyDoss Street, Baby Nagar, Ward 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600036, India"
6E0F,HYDRES12DEL02,39,4.4,17.429585,78.392621,17.479585,78.442621,01-04-2022,17:40:00,17:55:00,conditions Sandstorms,Medium ,2,Snack ,scooter ,2,No ,Metropolitian ,(min) 34,"Hoppery, Rd Number 46, CBI Colony, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500033, India","TSSPDCL, Jeedimetla Main Road, Idpl, Ward 127 Rangareddy Nagar, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500037, India"
